iter	Passed	Remaining
568	3378	2559
569	3383	2552
570	3389	2546
571	3394	2540
572	3400	2534
573	3405	2527
574	3411	2521
575	3417	2515
576	3422	2508
577	3427	2502
578	3432	2495
579	3438	2489
580	3443	2483
581	3449	2477
582	3454	2471
583	3460	2465
584	3466	2459
585	3471	2452
586	3477	2446
587	3483	2440
588	3488	2434
589	3494	2428
590	3501	2422
591	3506	2416
592	3512	2410
593	3518	2404
594	3523	2398
595	3529	2392
596	3534	2386
597	3540	2379
598	3545	2373
599	3551	2367
600	3557	2361
601	3562	2355
602	3568	2349
603	3573	2342
604	3579	2336
605	3584	2330
606	3590	2324
607	3595	2318
608	3600	2311
609	3606	2305
610	3611	2299
611	3617	2293
612	3622	2287
613	3628	2280
614	3633	2274
615	3639	2268
616	3644	2262
617	3651	2257
618	3656	2250
619	3662	2244
620	3668	2238
621	3673	2232
622	3679	2226
623	3685	2220
624	3691	2214
625	3696	2208
626	3702	2202
627	3707	2196
628	3713	2190
629	3718	2184
630	3724	2178
631	3730	2172
632	3735	2165
633	3741	2159
634	3747	2153
635	3752	2147
636	3757	2141
637	3763	2135
638	3768	2129
639	3774	2123
640	3780	2117
641	3785	2110
642	3791	2104
643	3796	2098
644	3801	2092
645	3807	2086
646	3812	2080
647	3817	2073
648	3823	2067
649	3828	2061
650	3834	2055
651	3839	2049
652	3845	2043
653	3850	2037
654	3856	2031
655	3862	2025
656	3867	2019
657	3873	2013
658	3879	2007
659	3884	2001
660	3889	1995
661	3895	1988
662	3900	1982
663	3906	1976
664	3911	1970
665	3917	1964
666	3922	1958
667	3928	1952
668	3934	1946
669	3939	1940
670	3945	1934
671	3950	1928
672	3955	1921
673	3960	1915
674	3966	1909
675	3972	1903
676	3977	1897
677	3983	1892
678	3990	1886
679	3996	1880
680	4001	1874
681	4007	1868
682	4013	1862
683	4018	1856
684	4025	1851
685	4031	1845
686	4036	1839
687	4042	1833
688	4048	1827
689	4053	1821
690	4058	1815
691	4064	1809
692	4070	1803
693	4076	1797
694	4082	1791
695	4088	1785
696	4093	1779
697	4099	1773
698	4105	1767
699	4110	1761
700	4118	1756
701	4125	1751
702	4131	1745
703	4137	1739
704	4143	1733
705	4148	1727
706	4153	1721
707	4159	1715
708	4165	1709
709	4170	1703
710	4176	1697
711	4181	1691
712	4187	1685
713	4193	1679
714	4199	1674
715	4205	1667
716	4210	1661
717	4216	1656
718	4221	1649
719	4227	1644
720	4233	1638
721	4238	1631
722	4243	1625
723	4248	1619
724	4254	1613
725	4259	1607
726	4265	1601
727	4271	1596
728	4277	1590
729	4282	1584
730	4288	1578
731	4293	1572
732	4299	1566
733	4305	1560
734	4311	1554
735	4316	1548
736	4322	1542
737	4328	1536
738	4333	1530
739	4340	1524
740	4345	1519
741	4351	1512
742	4356	1506
743	4362	1501
744	4367	1495
745	4373	1489
746	4378	1483
747	4384	1477
748	4389	1471
749	4395	1465
750	4400	1459
751	4406	1453
752	4411	1447
753	4417	1441
754	4422	1435
755	4428	1429
756	4433	1423
757	4439	1417
758	4444	1411
759	4450	1405
760	4456	1399
761	4462	1393
762	4467	1387
763	4473	1381
764	4478	1375
765	4484	1369
766	4489	1363
767	4494	1357
768	4500	1351
769	4505	1345
770	4511	1339
771	4517	1334
772	4523	1328
773	4528	1322
774	4533	1316
775	4539	1310
776	4544	1304
777	4550	1298
778	4555	1292
779	4561	1286
780	4566	1280
781	4572	1274
782	4577	1268
783	4582	1262
784	4588	1256
785	4593	1250
786	4598	1244
787	4604	1238
788	4610	1232
789	4615	1226
790	4621	1221
791	4627	1215
792	4633	1209
793	4638	1203
794	4643	1197
795	4649	1191
796	4654	1185
797	4660	1179
798	4665	1173
799	4671	1167
800	4676	1161
801	4682	1155
802	4687	1150
803	4693	1144
804	4698	1138
805	4704	1132
806	4711	1126
807	4716	1120
808	4722	1114
809	4727	1108
810	4732	1103
811	4738	1096
812	4743	1091
813	4748	1085
814	4754	1079
815	4760	1073
816	4765	1067
817	4771	1061
818	4777	1055
819	4782	1049
820	4788	1044
821	4793	1038
822	4799	1032
823	4805	1026
824	4810	1020
825	4815	1014
826	4821	1008
827	4827	1002
828	4833	996
829	4840	991
830	4847	985
831	4854	980
832	4861	974
833	4869	969
834	4876	963
835	4883	958
836	4889	952
837	4896	946
838	4902	940
839	4909	935
840	4915	929
841	4921	923
842	4926	917
843	4932	911
844	4938	905
845	4944	900
846	4950	894
847	4955	888
848	4961	882
849	4966	876
850	4972	870
851	4979	864
852	4984	859
853	4991	853
854	4996	847
855	5002	841
856	5008	835
857	5014	829
858	5020	824
859	5025	818
860	5030	812
861	5036	806
862	5041	800
863	5047	794
864	5052	788
865	5058	782
866	5063	776
867	5069	771
868	5077	765
869	5083	759
870	5089	753
871	5095	747
872	5100	742
873	5106	736
874	5112	730
875	5118	724
876	5123	718
877	5129	712
878	5134	706
879	5140	700
880	5145	695
881	5151	689
882	5157	683
883	5163	677
884	5168	671
885	5173	665
886	5179	659
887	5184	653
888	5190	648
889	5195	642
890	5202	636
891	5209	630
892	5215	624
893	5220	619
894	5226	613
895	5231	607
896	5237	601
897	5242	595
898	5248	589
899	5253	583
900	5259	577
901	5264	571
902	5270	566
903	5275	560
904	5281	554
905	5287	548
906	5292	542
907	5298	536
908	5303	530
909	5309	525
910	5314	519
911	5320	513
912	5325	507
913	5331	501
914	5336	495
915	5342	489
916	5347	484
917	5353	478
918	5359	472
919	5364	466
920	5370	460
921	5375	454
922	5381	448
923	5387	443
924	5393	437
925	5398	431
926	5404	425
927	5409	419
928	5415	413
929	5421	408
930	5427	402
931	5432	396
932	5438	390
933	5443	384
934	5449	378
935	5454	372
936	5460	367
937	5465	361
938	5471	355
939	5476	349
940	5481	343
941	5487	337
942	5492	332
943	5497	326
944	5503	320
945	5508	314
946	5513	308
947	5519	302
948	5524	296
949	5530	291
950	5535	285
951	5540	279
952	5546	273
953	5551	267
954	5557	261
955	5562	256
956	5568	250
957	5574	244
958	5579	238
959	5585	232
960	5590	226
961	5596	221
962	5601	215
963	5608	209
964	5615	203
965	5623	197
966	5630	192
967	5636	186
968	5643	180
969	5650	174
970	5658	169
971	5666	163
972	5674	157
973	5682	151
974	5689	145
975	5695	140
976	5701	134
977	5707	128
978	5714	122
979	5721	116
980	5727	110
981	5733	105
982	5739	99
983	5745	93
984	5751	87
985	5757	81
986	5762	75
987	5768	70
988	5774	64
989	5779	58
990	5785	52
991	5791	46
992	5798	40
993	5803	35
994	5809	29
995	5814	23
996	5820	17
997	5826	11
998	5831	5
999	5837	0
